Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5900779168664,napis z balonów,Podstawowa,1,szt.,15,,15,,23
T,5900779168701,balon ''0''czerwony,Podstawowa,7,szt.,"3,1",,"21,7",,23
T,5900779168749,Balon Cyfra 1 czerwona 86 cm,Podstawowa,3,szt.,"2,72",,"8,16",,23
T,5900779168749,Balon Cyfra 1 czerwona 86 cm,Podstawowa,4,szt.,"3,1",,"12,4",,23
T,5900779168749,Balon Cyfra 1 czerwona 86 cm,Podstawowa,3,szt.,"3,11",,"9,33",,23
T,5900779168787,balon foliowy czerwony ''2'',Podstawowa,9,szt.,"3,1",,"27,9",,23
T,5900779168824,balon cyfra ''3''czerwona,Podstawowa,5,szt.,"3,88",,"19,4",,23
T,5900779168862,balon cyfra''4''czerwona,Podstawowa,1,szt.,"6,5",,"6,5",,23
T,5900779168909,balon foliowy cyfra 5 czerwona,Podstawowa,7,szt.,"3,1",,"21,7",,23
T,5900779168947,balon cyfra ''6''czerwony,Podstawowa,3,szt.,"2,72",,"8,16",,23
T,5900779168947,balon cyfra ''6''czerwony,Podstawowa,1,szt.,"6,5",,"6,5",,23
T,5900779168985,Balon foliowy Cyfra 7 czerwona,Podstawowa,2,szt.,"3,1",,"6,2",,23
T,5900779169029,Balon foliowy 8 czerwony 86 cm,Podstawowa,2,szt.,"3,1",,"6,2",,23
T,5900779169029,Balon foliowy 8 czerwony 86 cm,Podstawowa,2,szt.,"3,88",,"7,76",,23
T,5900779169067,Balon foliowy Cyfra 9 czerwona,Podstawowa,2,szt.,"3,1",,"6,2",,23
T,5900779169067,Balon foliowy Cyfra 9 czerwona,Podstawowa,5,szt.,"6,5",,"32,5",,23
T,5900779170889,balon gwiazdka Happy....,Podstawowa,10,szt.,"2,6",,26,,23
T,5900779170896,Balon foliowy gwiazdka czarna Happy,Podstawowa,11,szt.,"2,6",,"28,6",,23
T,5900779170902,Balon foliowy gwiazdka Happy Birthday,Podstawowa,7,szt.,"2,61",,"18,27",,23
T,5900779170919,Balon foliowy happy niebieski,Podstawowa,2,szt.,"2,6",,"5,2",,23
T,5900779170926,Balon foliowy gwiazdka Happy róż,Podstawowa,1,szt.,"2,6",,"2,6",,23
T,5900779170940,Balon foliowy Sto lat gwiazdka czarny,Podstawowa,5,szt.,"2,61",,"13,05",,23
T,5900779170957,Balon foliowy gwiazdka Sto lat złoto,Podstawowa,2,szt.,"2,61",,"5,22",,23
