Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5188888884457,Zestaw balonów Dinozaur,Podstawowa,3,szt.,"4,5",,"13,5",,23
T,5188888884495,zestaw balonowy happy 00449,Podstawowa,46,szt.,"5,2",,"239,2",,23
T,5188888884518,zestaw balonowy happy birth.,Podstawowa,14,szt.,"5,2",,"72,8",,23
T,5188888884525,"balon cyfra 32""",Podstawowa,232,szt.,"1,2",,"278,4",,23
T,5201184875469,Serwetki bajkowe,Podstawowa,32,szt.,"12,95",,"414,4",,23
T,5201184888643,"Serwetki pap. ""18"" Ballons 20szt/op.",Podstawowa,5,op.,"3,61",,"18,05",,23
T,5201184888674,"Serwetki pap. ""40"" Balloons 20szt/op.",Podstawowa,9,op.,"2,92",,"26,28",,23
T,5201184888681,"Serwetki pap. ""50"" Balloons 20szt/op.",Podstawowa,2,op.,"3,61",,"7,22",,23
T,5201184888698,Serwetki pap. Balloons-60,Podstawowa,3,op.,"3,6",,"10,8",,23
T,5201184888698,Serwetki pap. Balloons-60,Podstawowa,2,op.,"3,61",,"7,22",,23
T,5201184894422,Czapeczki Psi Patrol 6szt,Podstawowa,1,op.,"4,46",,"4,46",,23
T,5201184911044,Baner Plastikowy Pepa 2.3m,Podstawowa,6,szt.,"5,39",,"32,34",,23
T,5201184911358,Baner Kraina Lodu 2.3m,Podstawowa,2,szt.,"5,53",,"11,06",,23
T,5201184913468,Serwetki Miraculous,Podstawowa,3,szt.,"5,88",,"17,64",,23
T,5201184920886,"serwetki papierowe ""Ballons - 20"" 33x33 20szt.",Podstawowa,1,szt.,"3,61",,"3,61",,23
T,5201184920886,"serwetki papierowe ""Ballons - 20"" 33x33 20szt.",Podstawowa,6,szt.,"3,64",,"21,84",,23
T,5201184922415,serwetki lego ninjago,Podstawowa,1,szt.,"5,57",,"5,57",,23
T,5201184922484,Serwetki Lego,Podstawowa,4,szt.,"4,94",,"19,76",,23
T,5201184930380,"Balon foliowy Pepa 18""",Podstawowa,1,szt.,"2,61",,"2,61",,23
T,5201184932735,balon foliowy harry potter 18'',Podstawowa,3,szt.,"2,61",,"7,83",,23
T,5201184934326,Talerzyki papier avengers,Podstawowa,1,szt.,"9,69",,"9,69",,23
T,5201184934357,Talerzyki papierowe Psi Patrol,Podstawowa,3,szt.,"9,69",,"29,07",,23
T,5201184934371,Talerzyki papierowe Cars,Podstawowa,2,szt.,"10,52",,"21,04",,23
T,5201184934531,Talerzyki Papierowe Psi Patrol,Podstawowa,3,szt.,"9,69",,"29,07",,23
T,5201184934722,Kubki Papierowe Cars 200ml,Podstawowa,6,szt.,"6,49",,"38,94",,23
T,5201184934845,Talerzyki papierowe Frozen2,Podstawowa,16,szt.,"8,14",,"130,24",,23
T,5201184934913,Talerzyki Minni 20 cm,Podstawowa,1,szt.,"8,14",,"8,14",,23
T,5201184935514,Kubki Plastikowe Kraina Lodu 200ml,Podstawowa,6,szt.,"4,93",,"29,58",,23
T,5201184935569,Kubki Papierowe Psi Patrol 200ml,Podstawowa,4,szt.,"4,93",,"19,72",,23
T,5201184935576,Kubeczki plastikowe Cars,Podstawowa,6,szt.,"4,55",,"27,3",,23
T,5201184935583,Kubeczki plastikowe Micky,Podstawowa,6,szt.,"4,55",,"27,3",,23
T,5201184935590,Kubeczki plastikowe Minni,Podstawowa,6,szt.,"4,42",,"26,52",,23
T,5201184935606,Kubki Plastikowe Psi Patrol 200ml,Podstawowa,6,szt.,"4,55",,"27,3",,23
T,5201184937501,"#PBA Banner Soccer Fans,flagi",Podstawowa,3,szt.,"8,15",,"24,45",,23
T,5201184938188,Talerzyki bajkowe,Podstawowa,10,szt.,"15,88",,"158,8",,23
T,5201184938225,talerzyki Disney23cm 8szt,Podstawowa,3,szt.,0,,0,,23
T,5201184938249,Serwetki Micky Rock the House,Podstawowa,3,szt.,"6,06",,"18,18",,23
T,5201184938331,Obrus plastikowy minni,Podstawowa,1,szt.,"10,3",,"10,3",,23
T,5201184938379,Balon foliowy Minnie,Podstawowa,1,szt.,"2,26",,"2,26",,23
T,5201184938409,Serwetki Frozen 2,Podstawowa,2,szt.,"5,57",,"11,14",,23
T,5201184938652,Serwetki spiderman 1op./6szt.,Podstawowa,2,szt.,"4,8",,"9,6",,23
T,5201184938676,Banner Spiderman flagi,Podstawowa,3,szt.,"10,76",,"32,28",,23
T,5201184938683,Banner Spiderman Happy Birthday,Podstawowa,2,szt.,"13,01",,"26,02",,23
T,5201184938782,Balon foliowy Avengers- Marvell,Podstawowa,1,szt.,"3,73",,"3,73",,23
T,5201184940532,Talerzyki papierowe Princess,Podstawowa,4,szt.,"8,14",,"32,56",,23
T,5201184940754,Piniata Frozen,Podstawowa,1,szt.,"19,31",,"19,31",,23
T,5201184940969,Balon foliowy CoComelon 18'',Podstawowa,2,szt.,"4,57",,"9,14",,23
T,5201184942444,Kubeczki plastikowe Peppa,Podstawowa,6,szt.,"4,93",,"29,58",,23
T,5201184948293,Balon foliowy SHP Chase,Podstawowa,2,szt.,"4,46",,"8,92",,23
T,5201184948316,Balon Foliowy Everest,Podstawowa,1,szt.,"4,01",,"4,01",,23
T,5201184948781,Serwetki papierowe Spidey&Friends,Podstawowa,2,szt.,"4,94",,"9,88",,23
T,5201184949900,Balon foliowy serce Princess,Podstawowa,2,szt.,"2,26",,"4,52",,23
T,5201184949924,Balon foliowy Cars Disney,Podstawowa,2,szt.,"3,73",,"7,46",,23
T,5201184949962,Balon foliowy 18'' Paw patrol-party,Podstawowa,1,szt.,"2,49",,"2,49",,23
T,5201184949986,balon foliowy peppa pig 18'',Podstawowa,2,szt.,"2,26",,"4,52",,23
T,5201184954430,serwetki papierowe minecfraft 33x33/20szt.,Podstawowa,2,szt.,"5,4",,"10,8",,23
T,5201184954447,Obrus plastikowy Minecraft,Podstawowa,2,szt.,"9,97",,"19,94",,23
T,5201184954454,baner Minecraft,Podstawowa,1,szt.,"9,02",,"9,02",,23
T,5201184955383,Kubek-bajka frozen,Podstawowa,24,szt.,"10,85",,"260,4",,23
T,5201184955390,Kubek-bajka księżniczki,Podstawowa,24,szt.,"10,85",,"260,4",,23
